,radios(centimetros),radios(pixeles),tiempo
117,0.04592866756393001,227.5,3.9261744966442955
118,0.04613055181695828,228.5,3.959731543624161
119,0.04623149394347241,229.0,3.9932885906040267
120,0.04602960969044414,228.0,4.026845637583893
121,0.04623149394347241,229.0,4.060402684563758
122,0.04613055181695828,228.5,4.093959731543624
123,0.04623149394347241,229.0,4.12751677852349
124,0.04613055181695828,228.5,4.1610738255033555
125,0.04623149394347241,229.0,4.194630872483222
126,0.04623149394347241,229.0,4.228187919463087
127,0.04623149394347241,229.0,4.261744966442953
128,0.04623149394347241,229.0,4.295302013422819
129,0.04623149394347241,229.0,4.328859060402684
130,0.04613055181695828,228.5,4.3624161073825505
131,0.04602960969044414,228.0,4.395973154362416
132,0.04592866756393001,227.5,4.429530201342282
133,0.04613055181695828,228.5,4.4630872483221475
